Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited,Cost
DFS Iterative Matrix,4,4,9,8,4->8->12->16->15->14->13->9,7,113
DFS Recursive List,11,4,9,8,4->3->2->1->5->6->10->9,7,45
DFS Recrusive Matrix,25,4,9,12,4->3->2->1->5->6->7->8->12->11->10->9,11,240
DFS Iterative List,9,15,4,5,15->16->12->8->4,4,40
DFS Iterative Matrix,6,15,4,5,15->16->12->8->4,4,209
DFS Recursive List,13,15,4,13,15->14->13->9->5->1->2->6->10->11->7->3->4,12,46
DFS Recrusive Matrix,11,15,4,5,15->11->7->3->4,4,240
DFS Iterative List,8,3,5,10,3->4->8->12->16->15->14->10->9->5,9,27
DFS Iterative Matrix,5,3,5,8,3->7->11->15->14->13->9->5,7,129
DFS Recursive List,8,3,5,4,3->2->1->5,3,45
DFS Recrusive Matrix,17,3,5,4,3->2->1->5,3,240
DFS Iterative List,8,5,10,3,5->9->10,2,39
DFS Iterative Matrix,5,5,10,3,5->9->10,2,209
DFS Recursive List,8,5,10,5,5->1->2->6->10,4,44
DFS Recrusive Matrix,31,5,10,9,5->1->2->3->4->8->7->6->10,8,240
DFS Iterative List,9,5,6,2,5->6,1,43
DFS Iterative Matrix,9,5,6,2,5->6,1,225
DFS Recursive List,9,5,6,4,5->1->2->6,3,44
DFS Recrusive Matrix,21,5,6,8,5->1->2->3->4->8->7->6,7,240
DFS Iterative List,6,8,4,2,8->4,1,47
DFS Iterative Matrix,4,8,4,2,8->4,1,241
DFS Recursive List,5,8,4,2,8->4,1,46
DFS Recrusive Matrix,6,8,4,2,8->4,1,240
DFS Iterative List,4,7,14,6,7->8->12->16->15->14,5,16
DFS Iterative Matrix,2,7,14,4,7->11->15->14,3,65
DFS Recursive List,7,7,14,10,7->3->2->1->5->6->10->9->13->14,9,45
DFS Recrusive Matrix,15,7,14,10,7->3->2->1->5->6->10->9->13->14,9,240
DFS Iterative List,5,6,3,3,6->7->3,2,34
DFS Iterative Matrix,2,6,3,9,6->10->14->15->16->12->8->4->3,8,129
DFS Recursive List,7,6,3,11,6->2->1->5->9->10->14->15->11->7->3,10,45
DFS Recrusive Matrix,12,6,3,9,6->2->1->5->9->10->11->7->3,8,240
DFS Iterative List,4,6,14,7,6->7->8->12->16->15->14,6,20
DFS Iterative Matrix,2,6,14,3,6->10->14,2,33
DFS Recursive List,9,6,14,7,6->2->1->5->9->10->14,6,45
DFS Recrusive Matrix,23,6,14,15,6->2->1->5->9->10->11->7->3->4->8->12->16->15->14,14,240
DFS Iterative List,6,16,15,2,16->15,1,46
DFS Iterative Matrix,1,16,15,2,16->15,1,17
DFS Recursive List,4,16,15,2,16->15,1,45
DFS Recrusive Matrix,15,16,15,16,16->12->8->4->3->2->1->5->6->7->11->10->9->13->14->15,15,240
DFS Iterative List,4,13,12,5,13->14->15->16->12,4,11
DFS Iterative Matrix,9,13,12,5,13->14->15->16->12,4,65
DFS Recursive List,13,13,12,15,13->9->5->1->2->6->10->14->15->11->7->3->4->8->12,14,45
DFS Recrusive Matrix,27,13,12,13,13->9->5->1->2->3->4->8->7->6->10->11->12,12,240
DFS Iterative List,3,16,11,3,16->12->11,2,6
DFS Iterative Matrix,5,16,11,3,16->15->11,2,225
DFS Recursive List,11,16,11,11,16->15->14->13->9->5->1->2->6->10->11,10,44
